Net Square Meter,Number of Rooms,Floor Number,Heating Type,Credit Eligibility,Number of Bathrooms,Number of WC,Gross Square Meter,Building Age,Number of Floors in Building,Within Site,Balcony,house is furnished,Price,Location
145 m²,4+2,10.Kat,Kombi Doğalgaz,Krediye Uygun,2,,165 m²,1,10,Hayır,,,15.000.000,İstanbul - Kadıköy - 19 Mayıs Mh.
75 m²,2+1,6.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,80 m²,16-20,6,Hayır,,,4.555.000,İstanbul - Beykoz - Kavacık Mh.
92 m²,3+1,4.Kat,Merkezi Doğalgaz,Krediye Uygun,2,,125 m²,5-10,10,Hayır,,,13.750.000,İstanbul - Kadıköy - Erenköy Mh.
100 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,2,130 m²,5-10,14,Hayır,Yok,Boş,20.950.000,İstanbul - Kadıköy - Caddebostan Mh.
85 m²,2+1,6.Kat,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,11-15,6,Hayır,,Boş,2.500.000,İstanbul - Esenler - Fatih Mh.
85 m²,2+1,12.Kat,Merkezi Doğalgaz,Krediye Uygun,1,,105 m²,21 Ve Üzeri,13,Hayır,,,14.000.000,İstanbul - Beşiktaş - Nisbetiye Mh.
90 m²,2+1,Çatı Katı,Kombi Doğalgaz,Krediye Uygun,1,1,110 m²,21 Ve Üzeri,5,Hayır,Var,,2.600.000,İstanbul - Bayrampaşa - Altıntepsi Mh.
85 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,21 Ve Üzeri,5,Hayır,,Boş,2.300.000,İstanbul - Güngören - Merkez Mh.
200 m²,4+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,4,,240 m²,16-20,4,Hayır,,,18.000.000,İstanbul - Kadıköy - Acıbadem Mh.
90 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,115 m²,21 Ve Üzeri,5,Hayır,,Eşyalı,3.950.000,İstanbul - Kadıköy - Rasimpaşa Mh.
55 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,60 m²,0 (Yeni),5,Hayır,,Boş,4.800.000,İstanbul - Kadıköy - Rasimpaşa Mh.
150 m²,5+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,2,,160 m²,11-15,5,Hayır,,Boş,7.000.000,İstanbul - Kadıköy - Rasimpaşa Mh.
65 m²,1+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,75 m²,0 (Yeni),5,Hayır,,Boş,3.400.000,İstanbul - Bayrampaşa - Kartaltepe Mh.
90 m²,2+1,,Kombi Doğalgaz,Krediye Uygun,1,,105 m²,21 Ve Üzeri,5,Hayır,,,68.000.000,İstanbul - Beyoğlu - Evliya Çelebi Mh.
240 m²,5+1,Çatı Dubleks,Kombi Doğalgaz,Bilinmiyor,3,3,280 m²,11-15,14,Evet,Var,,22.000.000,İstanbul - Kadıköy - 19 Mayıs Mh.
153 m²,4+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,2,,206 m²,0 (Yeni),11,Hayır,,Boş,89.000.000,İstanbul - Kadıköy - Fenerbahçe Mh.
70 m²,2+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,1,,90 m²,0 (Yeni),9,Hayır,,,8.500.000,İstanbul - Kadıköy - Bostancı Mh.
75 m²,2+1,1.Kat,Kombi Doğalgaz,Bilinmiyor,1,,100 m²,21 Ve Üzeri,4,Evet,Var,Boş,2.600.000,İstanbul - Büyükçekmece - Atatürk Mh.
90 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,21 Ve Üzeri,5,Hayır,,,2.750.000,İstanbul - Güngören - Gençosman Mh.
100 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,1,105 m²,21 Ve Üzeri,4,Hayır,Var,Boş,7.000.000,İstanbul - Sarıyer - Sarıyer Merkez Mh.
108 m²,3+1,2.Kat,Merkezi Doğalgaz,Krediye Uygun,2,,135 m²,21 Ve Üzeri,7,Hayır,,,6.250.000,İstanbul - Kadıköy - Sahrayı Cedit Mh.
170 m²,4+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,2,,175 m²,5-10,2,Hayır,,Boş,8.750.000,İstanbul - Büyükçekmece - Fatih Mh.
73 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,21 Ve Üzeri,5,Hayır,,Boş,2.800.000,İstanbul - Beşiktaş - Türkali Mh.
359 m²,1 Oda,,Kombi Doğalgaz,Krediye Uygun,Yok,,360 m²,21 Ve Üzeri,6,Hayır,,,35.000.000,İstanbul - Beyoğlu - Şehit Muhtar Mh.
45 m²,1+1,14.Kat,Yerden Isıtma,Krediye Uygun,1,,50 m²,0 (Yeni),14,Hayır,Yok,Boş,5.570.000,İstanbul - Kadıköy - Kozyatağı Mh.
85 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,95 m²,11-15,4,Hayır,Var,Boş,3.500.000,İstanbul - Esenler - Nine Hatun Mh.
75 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,90 m²,5-10,6,Hayır,,Boş,4.000.000,İstanbul - Bayrampaşa - İsmet Paşa Mh.
140 m²,3+1,2.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,190 m²,5-10,30,Hayır,,,79.900,İstanbul - Sarıyer - Maslak Mh.
140 m²,4+1,,Kombi Doğalgaz,Krediye Uygun Değil,1,,165 m²,21 Ve Üzeri,2,Hayır,,Boş,7.500.000,İstanbul - Kadıköy - Sahrayı Cedit Mh.
120 m²,3+1,13.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,2,,155 m²,1,14,Hayır,,Boş,33.750.000,İstanbul - Kadıköy - Caddebostan Mh.
100 m²,3+1,3.Kat,Merkezi Doğalgaz,Krediye Uygun,2,,120 m²,16-20,10,Hayır,,Boş,10.450.000,İstanbul - Kadıköy - Göztepe Mh.
85 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,110 m²,0 (Yeni),5,Hayır,,,3.550.000,İstanbul - Büyükçekmece - Murat Çeşme Mh.
95 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,100 m²,0 (Yeni),3,Hayır,,Boş,3.750.000,İstanbul - Büyükçekmece - Kumburgaz Mh.
90 m²,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,2,,125 m²,5-10,7,Hayır,,,12.750.000,İstanbul - Kadıköy - Erenköy Mh.
65 m²,1+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,70 m²,21 Ve Üzeri,4,Hayır,,Boş,4.150.000,İstanbul - Beşiktaş - Cihannüma Mh.
250 m²,4+1,18.Kat,Merkezi Doğalgaz,Krediye Uygun,3,,280 m²,21 Ve Üzeri,23,Hayır,,Boş,40.000.000,İstanbul - Kadıköy - Göztepe Mh.
115 m²,3+1,9.Kat,Merkezi (Pay Ölçer),Krediye Uygun,3,,150 m²,5-10,14,Hayır,,Boş,12.650.000,İstanbul - Kadıköy - Kozyatağı Mh.
95 m²,3+1,6.Kat,Kombi Doğalgaz,Krediye Uygun,2,,130 m²,0 (Yeni),8,Hayır,,Boş,21.000.000,İstanbul - Kadıköy - Göztepe Mh.
105 m²,3+1,5.Kat,Merkezi Doğalgaz,Krediye Uygun,2,,135 m²,21 Ve Üzeri,8,Hayır,,,7.950.000,İstanbul - Kadıköy - Kozyatağı Mh.
95 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,135 m²,3,10,Hayır,,,11.150.000,İstanbul - Kadıköy - Suadiye Mh.
140 m²,3+1,6.Kat,Merkezi Doğalgaz,Krediye Uygun,2,,165 m²,21 Ve Üzeri,10,Evet,,,11.750.000,İstanbul - Kadıköy - Bostancı Mh.
88 m²,2+1,6.Kat,Kombi Doğalgaz,Krediye Uygun,1,,98 m²,0 (Yeni),13,Evet,,,2.850.000,İstanbul - Esenler - Tuna Mh.
140 m²,3+2,4.Kat,Kombi Doğalgaz,Krediye Uygun Değil,3,,160 m²,21 Ve Üzeri,4,Hayır,,Boş,2.850.000,İstanbul - Bayrampaşa - Altıntepsi Mh.
125 m²,3+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,2,,145 m²,1,7,Hayır,,Boş,15.500.000,İstanbul - Kadıköy - Suadiye Mh.
125 m²,3+1,7.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,150 m²,21 Ve Üzeri,11,Hayır,,Boş,29.750.000,İstanbul - Kadıköy - Fenerbahçe Mh.
90 m²,3+1,6.Kat,Yerden Isıtma,Krediye Uygun,2,,125 m²,0 (Yeni),14,Hayır,,Boş,12.295.000,İstanbul - Kadıköy - Suadiye Mh.
95 m²,2+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,1,,105 m²,0 (Yeni),13,Evet,,,3.245.000,İstanbul - Esenler - Tuna Mh.
80 m²,1+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,3,4,Hayır,,Boş,1.249.000,İstanbul - Kadıköy - Acıbadem Mh.
75 m²,2+1,Bahçe Katı,Doğalgaz Sobalı,Krediye Uygun,1,,88 m²,21 Ve Üzeri,5,Hayır,,Boş,1.645.000,İstanbul - Güngören - Güneştepe Mh.
150 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,3,,180 m²,21 Ve Üzeri,5,Hayır,,Boş,14.000.000,İstanbul - Beyoğlu - Şahkulu Mh.
145 m²,1+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,1,,165 m²,21 Ve Üzeri,5,Hayır,,Boş,35.900.000,İstanbul - Beşiktaş - Kuruçeşme Mh.
82 m²,1+1,6.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,,102 m²,0 (Yeni),30,Evet,,Boş,15.000.000,İstanbul - Beykoz - Acarlar Mh.
85 m²,2+1,2.Kat,Klimalı,Krediye Uygun,1,,120 m²,21 Ve Üzeri,4,Evet,,Eşyalı,2.550.000,İstanbul - Büyükçekmece - Kumburgaz Mh.
225 m²,5+1,8.Kat,Kombi Doğalgaz,Krediye Uygun,3,,285 m²,5-10,8,Hayır,,Boş,28.500.000,İstanbul - Kadıköy - Suadiye Mh.
140 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,2,,165 m²,4,5,Hayır,,Boş,3.950.000,İstanbul - Büyükçekmece - Pınartepe Mh.
108 m²,3+1,10.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,140 m²,5-10,14,Hayır,,Boş,13.950.000,İstanbul - Kadıköy - Erenköy Mh.
97 m²,3+1,9.Kat,Kombi Doğalgaz,Krediye Uygun,2,,132 m²,0 (Yeni),12,Hayır,,Boş,11.900.000,İstanbul - Kadıköy - Kozyatağı Mh.
65 m²,2+1,8.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,90 m²,0 (Yeni),14,Hayır,,Boş,7.750.000,İstanbul - Kadıköy - Bostancı Mh.
100 m²,3+1,12.Kat,Yerden Isıtma,Krediye Uygun,2,,135 m²,0 (Yeni),13,Hayır,,Boş,21.000.000,İstanbul - Kadıköy - Suadiye Mh.
100 m²,2+1,,Kombi Doğalgaz,Krediye Uygun Değil,2,,110 m²,21 Ve Üzeri,2,Hayır,,,1.380.000,Bursa - Osmangazi - Atıcılar Mh.
180 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,1,,200 m²,16-20,4,Hayır,,,2.650.000,Manisa - Salihli - Şehitler Mh.
250 m²,2+1,Müstakil,Klimalı,Krediye Uygun,2,,615 m²,1,2,Evet,,,10.500.000,Samsun - 19 Mayıs - Dereköy Mh.
127 m²,3+1,,Kombi Doğalgaz,Bilinmiyor,1,1,170 m²,1,1,Hayır,,Boş,4.250.000,Konya - Meram - Alakova Mh.
327 m²,6+1,,Klimalı,Bilinmiyor,3,,450 m²,0 (Yeni),4,Evet,,,37.000.000,Antalya - Alanya - Tepe Mh.
1 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,11-15,4,Hayır,,,2.590.000,İstanbul - Bahçelievler - Yenibosna Merkez Mh.
90 m²,2+1,Bahçe Katı,Klimalı,Krediye Uygun,1,,110 m²,16-20,3,Evet,,,3.040.000,Balıkesir - Ayvalık - Küçükköy Mh.
55 m²,1+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,65 m²,0 (Yeni),4,Hayır,Yok,Boş,1.435.000,Tekirdağ - Çerkezköy - Bağlık Mh.
128 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,140 m²,4,5,Evet,,,5.480.000,Bursa - Nilüfer - Kurtuluş Mh.
165 m²,4+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,180 m²,0 (Yeni),9,Hayır,Var,Boş,4.150.000,Karaman - Karaman Merkez - Zembilli Ali Efendi Mh.
70 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,80 m²,1,4,Hayır,,,1.400.000,İstanbul - Başakşehir - Güvercintepe Mh.
85 m²,2+1,Bahçe Katı,Klimalı,Krediye Uygun,1,,95 m²,16-20,3,Hayır,Var,,3.300.000,Balıkesir - Ayvalık - Küçükköy Mh.
50 m²,1+1,4.Kat,Yerden Isıtma,Krediye Uygun,1,,60 m²,0 (Yeni),26,Evet,Var,Boş,6.996.000,İzmir - Konak - Çınarlı Mh.
100 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,105 m²,21 Ve Üzeri,4,Hayır,,,3.150.000,Kırklareli - Lüleburgaz - Yeni Mh.
125 m²,3+1,2.Kat,Yerden Isıtma,Krediye Uygun,2,,135 m²,1,4,Hayır,,,5.750.000,Kırklareli - Lüleburgaz - Yıldız Mh.
80 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,95 m²,16-20,10,Hayır,Var,,2.750.000,İzmir - Buca - Atatürk Mh.
130 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,140 m²,21 Ve Üzeri,5,Hayır,,Boş,2.850.000,İstanbul - Bahçelievler - Şirinevler Mh.
60 m²,1+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,65 m²,5-10,3,Hayır,,,1.275.000,Sakarya - Karasu - Yalı Mh.
75 m²,2+1,Yüksek Giriş,Klimalı,Krediye Uygun,1,,90 m²,11-15,3,Hayır,,,3.850.000,Balıkesir - Edremit - İskele Mh.
70 m²,2+1,Düz Giriş (Zemin),Klimalı,Krediye Uygun,1,,85 m²,11-15,3,Hayır,,,2.550.000,Balıkesir - Edremit - Şahindere Mh.
75 m²,1+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,95 m²,0 (Yeni),4,Hayır,,,2.200.000,İstanbul - Avcılar - Cihangir Mh.
155 m²,4+1,4.Kat,Yerden Isıtma,Krediye Uygun,3,2,165 m²,1,5,Hayır,Var,Boş,4.000.000,Balıkesir - Karesi - 1. Sakarya Mh.
155 m²,4+1,4.Kat,Yerden Isıtma,Krediye Uygun,3,3,165 m²,1,5,Hayır,Var,Boş,4.100.000,Balıkesir - Karesi - 1. Sakarya Mh.
180 m²,4+1,Çatı Dubleks,Klimalı,Krediye Uygun,2,,190 m²,11-15,5,Hayır,,,4.066.000,Antalya - Alanya - Mahmutlar Mh.
95 m²,2+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,2,,115 m²,3,7,Evet,,,2.750.000,İstanbul - Esenyurt - Mehmet Akif Ersoy Mh.
145 m²,3+1,3.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,175 m²,2,13,Hayır,,,2.375.000,Kayseri - Kocasinan - Ertuğrul Gazi Mh.
220 m²,5+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,2,,260 m²,5-10,6,Evet,,Boş,20.000.000,İstanbul - Başakşehir - Bahçeşehir 2. Kısım Mh.
90 m²,2+1,Bahçe Katı,Klimalı,Krediye Uygun,1,,100 m²,1,3,Hayır,,,2.500.000,Muğla - Bodrum - Mumcular Mh.
60 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun Değil,1,1,70 m²,16-20,7,Hayır,Yok,Eşyalı,950.000,Gaziantep - Şahinbey - Güneykent Mh.
90 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,120 m²,21 Ve Üzeri,5,Hayır,Var,Boş,5.000.000,İstanbul - Bakırköy - Kartaltepe Mh.
142 m²,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,2,,178 m²,11-15,3,Hayır,,,2.275.000,Ankara - Keçiören - Uyanış Mh.
200 m²,4+1,Müstakil,Yerden Isıtma,Krediye Uygun,4,,500 m²,0 (Yeni),2,Evet,,,12.000.000,Aydın - Kuşadası - İkiçeşmelik Mh.
250 m²,4+1,Müstakil,Yerden Isıtma,Krediye Uygun,4,,700 m²,0 (Yeni),2,Evet,,,22.000.000,Aydın - Kuşadası - Yavansu Mh.
190 m²,3+1,,Kombi Doğalgaz,Krediye Uygun,2,,200 m²,0 (Yeni),3,Hayır,,Boş,5.300.000,Tekirdağ - Marmaraereğlisi - Yeniçiftlik Mh.
185 m²,4+1,,Kombi Doğalgaz,Krediye Uygun,2,,200 m²,0 (Yeni),3,Hayır,,Boş,4.100.000,Tekirdağ - Marmaraereğlisi - Yeniçiftlik Mh.
150 m²,1 Oda,Müstakil,Yerden Isıtma,Krediye Uygun,3,,350 m²,0 (Yeni),2,Evet,,,13.500.000,Aydın - Kuşadası - Davutlar Mh.
150 m²,3+1,Villa Tipi,Yerden Isıtma,Krediye Uygun,3,,350 m²,0 (Yeni),2,Hayır,,Eşyalı,10.970.000,Aydın - Kuşadası - Güzelçamlı Mh.
180 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,,190 m²,0 (Yeni),5,Hayır,Var,Boş,6.250.000,Denizli - Merkezefendi - Servergazi Mh.
190 m²,3.5+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,2,,200 m²,0 (Yeni),5,Hayır,,,6.000.000,Denizli - Merkezefendi - Yenişafak Mh.
120 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,130 m²,0 (Yeni),5,Hayır,,Boş,3.250.000,Denizli - Merkezefendi - Yenişafak Mh.
114 m²,3+1,13.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,150 m²,0 (Yeni),15,Hayır,,,16.500.000,İstanbul - Kadıköy - Kozyatağı Mh.
120 m²,3+1,,Kombi Doğalgaz,Krediye Uygun Değil,4,,140 m²,0 (Yeni),3,Evet,,Boş,12.500.000,İstanbul - Başakşehir - Bahçeşehir 1. Kısım Mh.
105 m²,3+1,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,2,,125 m²,1,14,Evet,,Boş,5.250.000,İstanbul - Başakşehir - Bahçeşehir 2. Kısım Mh.
150 m²,3+1,4.Kat,Merkezi Doğalgaz,Krediye Uygun,2,,170 m²,0 (Yeni),4,Hayır,,,5.500.000,İstanbul - Maltepe - Aydınevler Mh.
150 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,160 m²,0 (Yeni),5,Hayır,,Boş,4.250.000,Denizli - Merkezefendi - Yenişafak Mh.
150 m²,3+1,3.Kat,Yerden Isıtma,Krediye Uygun,1,,160 m²,0 (Yeni),4,Hayır,Var,Boş,5.200.000,Denizli - Merkezefendi - Gerzele Mh.
145 m²,3+1,2.Kat,Yerden Isıtma,Krediye Uygun,1,,150 m²,0 (Yeni),4,Hayır,Var,Boş,4.250.000,Denizli - Merkezefendi - Gerzele Mh.
110 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,0 (Yeni),4,Hayır,Var,Boş,2.800.000,Denizli - Merkezefendi - Karahasanlı Mh.
150 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,155 m²,0 (Yeni),4,Hayır,,,2.550.000,Denizli - Merkezefendi - Şemikler Mh.
110 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,0 (Yeni),3,Hayır,Var,Boş,2.350.000,Denizli - Merkezefendi - Şemikler Mh.
110 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,0 (Yeni),4,Hayır,Var,Boş,2.350.000,Denizli - Merkezefendi - Şemikler Mh.
145 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,150 m²,0 (Yeni),3,Hayır,,,2.300.000,Denizli - Merkezefendi - Gümüşçay Mh.
110 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,0 (Yeni),3,Hayır,Var,Boş,2.240.000,Denizli - Merkezefendi - Şemikler Mh.
110 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,0 (Yeni),2,Hayır,Var,Boş,2.040.000,Denizli - Merkezefendi - Gümüşçay Mh.
145 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,150 m²,0 (Yeni),3,Hayır,,,2.300.000,Denizli - Merkezefendi - Gümüşçay Mh.
90 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,1,105 m²,0 (Yeni),4,Hayır,Var,Boş,945.000,İstanbul - Esenyurt - Örnek Mh.
130 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,,140 m²,5-10,5,Hayır,Var,,5.500.000,İstanbul - Bahçelievler - Şirinevler Mh.
78 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,2,100 m²,5-10,4,Hayır,Var,Boş,2.850.000,İstanbul - Beylikdüzü - Kavaklı Mh.
110 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,21 Ve Üzeri,5,Hayır,Var,,1.500.000,İstanbul - Sultangazi - Uğur Mumcu Mh.
45 m²,1+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,55 m²,0 (Yeni),5,Hayır,,Boş,1.865.000,Samsun - Atakum - Körfez Mh.
80 m²,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,2,,85 m²,5-10,4,Hayır,,,1.460.000,İstanbul - Bahçelievler - Zafer Mh.
75 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,80 m²,5-10,4,Hayır,,,2.950.000,İstanbul - Bahçelievler - Hürriyet Mh.
160 m²,3+1,3.Kat,Kombi Doğalgaz,Bilinmiyor,2,,180 m²,16-20,4,Hayır,,,2.350.000,Aydın - Nazilli - Altıntaş Mh.
50 m²,1+1,1.Kat,Klimalı,Krediye Uygun,1,,55 m²,0 (Yeni),4,Hayır,Var,Boş,1.595.000,Mersin - Erdemli - Alata Mh.
90 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,2,2,100 m²,3,5,Evet,Var,,4.200.000,Aydın - Kuşadası - Ege Mh.
85 m²,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,100 m²,21 Ve Üzeri,5,Hayır,Var,,4.750.000,İstanbul - Üsküdar - Bulgurlu Mh.
145 m²,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,160 m²,21 Ve Üzeri,4,Hayır,Var,Boş,2.350.000,Aydın - Nazilli - Cumhuriyet Mh.
155 m²,3+1,6.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,,175 m²,4,9,Hayır,,,2.850.000,Kayseri - Kocasinan - Osmangazi Mh.
90 m²,2+1,,Kombi Doğalgaz,Bilinmiyor,1,,95 m²,21 Ve Üzeri,3,Hayır,,,3.850.000,Bursa - Yıldırım - Sıracevizler Mh.
85 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,11-15,4,Hayır,,,3.200.000,İstanbul - Sancaktepe - Emek Mh.
100 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,1,,105 m²,0 (Yeni),3,Hayır,Var,Boş,2.500.000,Karaman - Karaman Merkez - Kazım Karabekir Paşa Mh.
150 m²,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,160 m²,16-20,4,Hayır,Var,Boş,2.650.000,Karaman - Karaman Merkez - Cedit Mh.
85 m²,2+1,Yüksek Giriş,Klimalı,Bilinmiyor,1,,95 m²,0 (Yeni),4,Hayır,,,2.500.000,Mersin - Silifke - Yeşilovacık Mh.
140 m²,4+1,,Klimalı,Krediye Uygun,2,,180 m²,16-20,2,Hayır,,,9.350.000,Aydın - Kuşadası - Yavansu Mh.
125 m²,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,130 m²,5-10,5,Hayır,,,3.600.000,İstanbul - Sultangazi - İsmetpaşa Mh.
128 m²,4+2,,Klimalı,Krediye Uygun,2,2,165 m²,4,1,Hayır,,,44.000.000,İzmir - Urla - Denizli Mh.
145 m²,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,2,155 m²,21 Ve Üzeri,4,Hayır,Var,Boş,1.800.000,Sakarya - Adapazarı - Yahyalar Mh.
125 m²,3+1,Yüksek Giriş,Klimalı,Krediye Uygun,1,,140 m²,5-10,5,Hayır,,,5.500.000,Antalya - Alanya - Fığla Mh.
100 m²,2+1,3.Kat,Klimalı,Krediye Uygun,1,,110 m²,16-20,3,Hayır,,,2.195.000,Balıkesir - Edremit - Akçay Mh.
60 m²,1+1,2.Kat,Kat Kaloriferi,Krediye Uygun,1,,65 m²,1,4,Hayır,,,1.925.000,Balıkesir - Edremit - Akçay Mh.
90 m²,2+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,1,,95 m²,5-10,4,Hayır,Var,Boş,1.750.000,Yalova - Çınarcık - Harmanlar Mh.
100 m²,3+1,6.Kat,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,21 Ve Üzeri,8,Hayır,,,2.950.000,İzmir - Bergama - Zafer Mh.
60 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,1,,70 m²,21 Ve Üzeri,5,Hayır,,,1.980.000,İzmir - Konak - Kılıç Reis Mh.
135 m²,2+1,,Kombi Doğalgaz,Bilinmiyor,1,,150 m²,1,2,Hayır,,,2.500.000,Gaziantep - Şehitkamil - Aydıntepe Mh.
90 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,,102 m²,0 (Yeni),4,Hayır,,,5.250.000,İzmir - Seferihisar - Camikebir Mh.
85 m²,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,,100 m²,3,6,Hayır,,,1.815.000,İstanbul - Esenyurt - Güzelyurt Mh.
130 m²,3+1,Kot 3 (-3).Kat,Merkezi Doğalgaz,Krediye Uygun,2,,165 m²,0 (Yeni),10,Hayır,,,2.500.000,Kayseri - Melikgazi - Yeşilyurt Mh.
115 m²,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,,120 m²,5-10,5,Hayır,,,1.699.000,Tekirdağ - Kapaklı - İnönü Mh.
130 m²,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil,2,1,135 m²,5-10,5,Hayır,Var,Boş,1.350.000,Gaziantep - Şahinbey - Güneş Mh.
120 m²,5+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,1,125 m²,21 Ve Üzeri,4,Hayır,Var,,3.250.000,İstanbul - Fatih - Atikali Mh.
80 m²,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,1,,85 m²,21 Ve Üzeri,5,Evet,,,1.650.000,İzmir - Konak - Murat Reis Mh.
160 m²,3+1,,Kat Kaloriferi,Krediye Uygun,4,,208 m²,0 (Yeni),3,Hayır,,,12.500.000,Balıkesir - Edremit - Güre Mh.
